Gesture A,"[0.33518824, 4.0892963, 1.3982137, 4.0222588, -0.80445176, -4.367024, 10.658986, -3.6583402, 0.50757074, -0.076614454, -0.4309563]","[7.9008656, 17.017986, 10.563218, 0.076614454, 19.479225, 6.9240313, 9.662998, 9.586384, 9.385271, 9.423578, 9.346964]","[2.8634653, 6.3781533, -1.3120226, -3.7062242, 7.1634517, 5.9759274, -4.271256, 6.751649, 2.9400797, 2.5091233, 2.9017725]"
Gesture A,"[0.47884035, 5.45878, -0.08619126, 0.7757214, -4.8362875, 8.24563, 0.15322891, -1.7908629, 0.32561144, -0.25857377, -0.8523358]","[7.929596, 16.041151, -2.135628, 14.240712, 10.43872, 7.73806, 9.739613, 9.069236, 9.528923, 9.279925, 9.308656]","[2.7485435, 8.494628, -1.5227122, -0.8810662, 8.034941, -2.1452048, 4.548983, 2.480393, 3.2848446, 2.767697, 2.0973208]"
Gesture A,"[0.36391866, 1.8004397, 3.6391866, 1.1587936, 1.1683705, -2.1452048, 9.730036, -0.20111294, -2.2601264, 0.22026655, 0.2777274, -0.51714754]","[8.580819, 11.501745, 12.909535, -2.7006595, 15.02601, 10.773908, 7.967903, 9.126697, 9.337387, 9.509769, 9.385271, 9.385271]","[2.9113493, 4.76925, 3.5051112, -2.8538885, 3.265691, 7.2783732, -2.6144683, 2.1643584, 3.323152, 2.4229321, 2.5570073, 2.6240451]"
Gesture A,"[0.48841715, 0.50757074, 2.480393, 1.6567876, -1.0247183, -2.4133554, 3.9743748, 5.056554, -5.439626, 0.18195933, -0.8331822]","[9.605537, 9.040505, 14.010868, 6.3302693, -1.9536686, 21.92131, 6.0046577, 7.2209125, 9.720459, 9.184157, 9.423578]","[4.4436383, 3.5242648, 4.8362875, 1.3024458, -2.3654714, 16.376339, -0.08619126, -1.6376339, 6.943185, 3.0454245, 2.4229321]"
Gesture A,"[0.6607997, -0.17238252, 2.3750482, 4.146757, 1.6950948, 3.3997664, -1.532289, 13.579912, -4.1180267, 0.08619126, -0.1340753, -0.2873042, -0.20111294]","[9.040505, 8.418014, 14.432248, 10.850522, -4.4915223, 16.548721, 7.4603324, 8.00621, 8.504205, 10.199299, 9.548077, 9.3182335, 9.375694]","[2.7006595, 2.6719291, 7.086837, 1.0534488, -3.5913026, 4.4723687, 8.552089, -13.196839, 10.630256, 4.185065, 2.815581, 2.231396, 2.930503]"
Gesture A,"[0.2873042, 3.667917, 3.074155, 0.12449849, 4.510676, 2.3750482, 10.572795, 0.545878, 1.1300632, 1.7429788, 0.2873042, 0.46926352]","[8.39886, 13.01488, 8.7532015, -3.9264908, 12.6222315, 9.56723, 6.5984197, 8.839393, 9.969456, 9.423578, 9.097966, 9.423578]","[3.86903, 5.2002063, 2.0207062, -3.3327289, 3.514688, 8.130709, -10.6398325, 11.722012, 4.0222588, 2.3750482, 2.6431987, 2.873042]"
Gesture A,"[0.7757214, 0.5267244, -0.009576807, 9.509769, 1.7908629, 0.36391866, 2.6527755, 9.5385, 2.1068976, -0.4405331, 0.05746084, -0.80445176, 0.15322891, -0.82360536]","[8.944737, 8.762778, 5.90889, 20.714634, -7.345411, 8.360553, 14.949395, 6.694188, 9.481039, 9.490616, 8.8777, 8.619126, 9.385271, 9.32781]","[3.9839516, 4.0222588, 3.2848446, 12.5743475, -1.8195933, -6.2249246, 13.378799, -9.595961, 5.104438, 4.2042184, 3.3901896, 4.223372, 2.8538885, 2.528277]"
Gesture A,"[0.89064306, 0.89064306, 5.161899, -3.2944214, 10.70687, 8.0924015, 2.9496565, -1.7525556, 0.81402856, 0.38307226, -0.16280572]","[8.6095495, 10.620679, 10.5919485, -7.019799, 22.505495, 3.3327289, 4.7788267, 10.266336, 8.322245, 9.059659, 8.858546]","[3.7445314, 5.085284, 3.0454245, -3.572149, 13.359646, -0.61291564, -5.9759274, 7.5082164, 3.8115692, 3.1890767, 4.1946416]"
Gesture A,"[0.45968673, 4.5298295, 2.72939, -1.2449849, 6.2823853, 12.363658, 1.5227122, -0.93852705, 0.7469909, 0.4405331, 0.24899697]","[7.833828, 17.717093, -1.1013328, -0.05746084, 18.885464, 4.9895163, 8.590396, 9.069236, 8.810662, 9.069236, 9.088389]","[3.4284968, 8.456321, -0.9864111, -1.4556746, 18.425776, -8.63828, 7.4986396, 4.596867, 3.8977604, 3.2848446, 3.8307228]"
Gesture A,"[1.8291701, 9.442732, -2.2218192, 13.378799, 2.2984335, 5.631162, -3.2369606, 0.6512229, 0.1340753, 0.38307226]","[9.021352, 18.990808, -10.237606, 23.262064, 4.2904096, 4.510676, 10.6877165, 9.107543, 9.260772, 9.279925]","[3.2082303, 8.90643, -4.7979803, 6.157887, 3.8498764, -6.301539, 6.081272, 2.2984335, 3.514688, 3.2369606]"
